"CITY","Date","Log.Trips","time_since_treatment","month","season","Total_Injuries","treatment"
"BOSTON",2010-01-01,0,-18,1,1,187,1
"BOSTON",2010-02-01,0,-17,2,1,131,1
"BOSTON",2010-03-01,0,-16,3,1,201,1
"BOSTON",2010-04-01,0,-15,4,2,201,1
"BOSTON",2010-05-01,0,-14,5,2,213,1
"BOSTON",2010-06-01,0,-13,6,3,188,1
"BOSTON",2010-07-01,0,-12,7,3,168,1
"BOSTON",2010-08-01,0,-11,8,3,212,1
"BOSTON",2010-09-01,0,-10,9,4,197,1
"BOSTON",2010-10-01,0,-9,10,4,242,1
"BOSTON",2010-11-01,0,-8,11,1,231,1
"BOSTON",2010-12-01,0,-7,12,1,189,1
"BOSTON",2011-01-01,0,-6,1,1,161,1
"BOSTON",2011-02-01,0,-5,2,1,139,1
"BOSTON",2011-03-01,0,-4,3,1,167,1
"BOSTON",2011-04-01,0,-3,4,2,169,1
"BOSTON",2011-05-01,0,-2,5,2,170,1
"BOSTON",2011-06-01,0,-1,6,3,150,1
"BOSTON",2011-07-01,7.88344635413774,0,7,3,143,1
"BOSTON",2011-08-01,10.4814342971563,1,8,3,138,1
"BOSTON",2011-09-01,10.6015973986758,2,9,4,168,1
"BOSTON",2011-10-01,10.4863872958649,3,10,4,188,1
"BOSTON",2011-11-01,10.108772585549,4,11,1,134,1
"BOSTON",2011-12-01,0,5,12,1,133,1
"BOSTON",2012-01-01,0,6,1,1,153,1
"BOSTON",2012-02-01,0,7,2,1,129,1
"BOSTON",2012-03-01,9.55905874619846,8,3,1,121,1
"BOSTON",2012-04-01,10.6781801572792,9,4,2,149,1
"BOSTON",2012-05-01,10.8690445257132,10,5,2,85,1
"BOSTON",2012-06-01,10.9095641422991,11,6,3,147,1
"BOSTON",2012-07-01,11.138777321368,12,7,3,172,1
"BOSTON",2012-08-01,11.1924240137031,13,8,3,151,1
"BOSTON",2012-09-01,11.0948233451118,14,9,4,149,1
"BOSTON",2012-10-01,10.9581131219991,15,10,4,164,1
"BOSTON",2012-11-01,10.4443427415038,16,11,1,132,1
"BOSTON",2012-12-01,0,17,12,1,146,1
"BOSTON",2013-01-01,0,18,1,1,132,1
"BOSTON",2013-02-01,0,19,2,1,136,1
"BOSTON",2013-03-01,0,20,3,1,170,1
"BOSTON",2013-04-01,10.7117363993146,21,4,2,130,1
"BOSTON",2013-05-01,11.1399178664106,22,5,2,161,1
"BOSTON",2013-06-01,11.2360250608831,23,6,3,162,1
"BOSTON",2013-07-01,11.3975146134589,24,7,3,131,1
"BOSTON",2013-08-01,11.4963742461122,25,8,3,146,1
"BOSTON",2013-09-01,11.3775065778625,26,9,4,168,1
"BOSTON",2013-10-01,11.355563802117,27,10,4,144,1
"BOSTON",2013-11-01,10.6559643991721,28,11,1,172,1
"BOSTON",2013-12-01,3.51154543883102,29,12,1,142,1
"BOSTON",2014-01-01,0,30,1,1,123,1
"BOSTON",2014-02-01,0,31,2,1,122,1
"BOSTON",2014-03-01,0.405465108108164,32,3,1,158,1
"BOSTON",2014-04-01,10.9319277032272,33,4,2,107,1
"BOSTON",2014-05-01,11.42638125157,34,5,2,128,1
"BOSTON",2014-06-01,11.5674325894689,35,6,3,122,1
"BOSTON",2014-07-01,11.6252447123948,36,7,3,143,1
"BOSTON",2014-08-01,11.6364210418379,37,8,3,143,1
"BOSTON",2014-09-01,11.5677497680028,38,9,4,139,1
"BOSTON",2014-10-01,11.3307918905065,39,10,4,209,1
"BOSTON",2014-11-01,10.7145733122105,40,11,1,187,1
"BOSTON",2014-12-01,9.87637326004456,41,12,1,119,1
"BROOKLINE",2010-01-01,0,-31,1,1,7,1
"BROOKLINE",2010-02-01,0,-30,2,1,0,1
"BROOKLINE",2010-03-01,0,-29,3,1,4,1
"BROOKLINE",2010-04-01,0,-28,4,2,2,1
"BROOKLINE",2010-05-01,0,-27,5,2,2,1
"BROOKLINE",2010-06-01,0,-26,6,3,5,1
"BROOKLINE",2010-07-01,0,-25,7,3,2,1
"BROOKLINE",2010-08-01,0,-24,8,3,1,1
"BROOKLINE",2010-09-01,0,-23,9,4,1,1
"BROOKLINE",2010-10-01,0,-22,10,4,4,1
"BROOKLINE",2010-11-01,0,-21,11,1,3,1
"BROOKLINE",2010-12-01,0,-20,12,1,2,1
"BROOKLINE",2011-01-01,0,-19,1,1,10,1
"BROOKLINE",2011-02-01,0,-18,2,1,11,1
"BROOKLINE",2011-03-01,0,-17,3,1,5,1
"BROOKLINE",2011-04-01,0,-16,4,2,12,1
"BROOKLINE",2011-05-01,0,-15,5,2,18,1
"BROOKLINE",2011-06-01,0,-14,6,3,9,1
"BROOKLINE",2011-07-01,0,-13,7,3,11,1
"BROOKLINE",2011-08-01,0,-12,8,3,23,1
"BROOKLINE",2011-09-01,0,-11,9,4,26,1
"BROOKLINE",2011-10-01,0,-10,10,4,16,1
"BROOKLINE",2011-11-01,0,-9,11,1,4,1
"BROOKLINE",2011-12-01,0,-8,12,1,18,1
"BROOKLINE",2012-01-01,0,-7,1,1,17,1
"BROOKLINE",2012-02-01,0,-6,2,1,14,1
"BROOKLINE",2012-03-01,0,-5,3,1,17,1
"BROOKLINE",2012-04-01,0,-4,4,2,10,1
"BROOKLINE",2012-05-01,0,-3,5,2,14,1
"BROOKLINE",2012-06-01,0,-2,6,3,10,1
"BROOKLINE",2012-07-01,0,-1,7,3,18,1
"BROOKLINE",2012-08-01,6.85118492749374,0,8,3,7,1
"BROOKLINE",2012-09-01,6.77422388635761,1,9,4,11,1
"BROOKLINE",2012-10-01,6.54391184556479,2,10,4,17,1
"BROOKLINE",2012-11-01,5.93357056868908,3,11,1,15,1
"BROOKLINE",2012-12-01,0,4,12,1,16,1
"BROOKLINE",2013-01-01,0,5,1,1,9,1
"BROOKLINE",2013-02-01,0,6,2,1,8,1
"BROOKLINE",2013-03-01,0,7,3,1,15,1
"BROOKLINE",2013-04-01,6.66440902035041,8,4,2,10,1
"BROOKLINE",2013-05-01,7.23345541862144,9,5,2,2,1
"BROOKLINE",2013-06-01,7.42773884053289,10,6,3,1,1
"BROOKLINE",2013-07-01,7.59287028784482,11,7,3,9,1
"BROOKLINE",2013-08-01,7.65657365691254,12,8,3,21,1
"BROOKLINE",2013-09-01,7.54194831669841,13,9,4,14,1
"BROOKLINE",2013-10-01,7.53182029835464,14,10,4,1,1
"BROOKLINE",2013-11-01,6.90475076996184,15,11,1,2,1
"BROOKLINE",2013-12-01,0,16,12,1,3,1
"BROOKLINE",2014-01-01,0,17,1,1,19,1
"BROOKLINE",2014-02-01,0,18,2,1,15,1
"BROOKLINE",2014-03-01,0,19,3,1,22,1
"BROOKLINE",2014-04-01,6.39692965521615,20,4,2,21,1
"BROOKLINE",2014-05-01,7.61208964893265,21,5,2,15,1
"BROOKLINE",2014-06-01,7.77401507725073,22,6,3,12,1
"BROOKLINE",2014-07-01,7.83062432621642,23,7,3,16,1
"BROOKLINE",2014-08-01,7.77946696745832,24,8,3,22,1
"BROOKLINE",2014-09-01,7.66364248936327,25,9,4,15,1
"BROOKLINE",2014-10-01,7.41034709782102,26,10,4,10,1
"BROOKLINE",2014-11-01,6.76272950693188,27,11,1,15,1
"BROOKLINE",2014-12-01,1.25276296849537,28,12,1,18,1
"CAMBRIDGE",2010-01-01,0,-30,1,1,22,1
"CAMBRIDGE",2010-02-01,0,-29,2,1,26,1
"CAMBRIDGE",2010-03-01,0,-28,3,1,37,1
"CAMBRIDGE",2010-04-01,0,-27,4,2,48,1
"CAMBRIDGE",2010-05-01,0,-26,5,2,52,1
"CAMBRIDGE",2010-06-01,0,-25,6,3,36,1
"CAMBRIDGE",2010-07-01,0,-24,7,3,55,1
"CAMBRIDGE",2010-08-01,0,-23,8,3,48,1
"CAMBRIDGE",2010-09-01,0,-22,9,4,47,1
"CAMBRIDGE",2010-10-01,0,-21,10,4,61,1
"CAMBRIDGE",2010-11-01,0,-20,11,1,38,1
"CAMBRIDGE",2010-12-01,0,-19,12,1,39,1
"CAMBRIDGE",2011-01-01,0,-18,1,1,31,1
"CAMBRIDGE",2011-02-01,0,-17,2,1,26,1
"CAMBRIDGE",2011-03-01,0,-16,3,1,32,1
"CAMBRIDGE",2011-04-01,0,-15,4,2,28,1
"CAMBRIDGE",2011-05-01,0,-14,5,2,48,1
"CAMBRIDGE",2011-06-01,0,-13,6,3,50,1
"CAMBRIDGE",2011-07-01,0,-12,7,3,44,1
"CAMBRIDGE",2011-08-01,0,-11,8,3,45,1
"CAMBRIDGE",2011-09-01,0,-10,9,4,32,1
"CAMBRIDGE",2011-10-01,0,-9,10,4,44,1
"CAMBRIDGE",2011-11-01,0,-8,11,1,40,1
"CAMBRIDGE",2011-12-01,0,-7,12,1,41,1
"CAMBRIDGE",2012-01-01,0,-6,1,1,52,1
"CAMBRIDGE",2012-02-01,0,-5,2,1,31,1
"CAMBRIDGE",2012-03-01,0,-4,3,1,28,1
"CAMBRIDGE",2012-04-01,0,-3,4,2,36,1
"CAMBRIDGE",2012-05-01,0,-2,5,2,52,1
"CAMBRIDGE",2012-06-01,0,-1,6,3,36,1
"CAMBRIDGE",2012-07-01,4.91998092582813,0,7,3,34,1
"CAMBRIDGE",2012-08-01,9.08085791419795,1,8,3,59,1
"CAMBRIDGE",2012-09-01,9.56082117175159,2,9,4,43,1
"CAMBRIDGE",2012-10-01,9.65114044837184,3,10,4,58,1
"CAMBRIDGE",2012-11-01,9.27664296123025,4,11,1,31,1
"CAMBRIDGE",2012-12-01,0,5,12,1,36,1
"CAMBRIDGE",2013-01-01,0,6,1,1,29,1
"CAMBRIDGE",2013-02-01,0,7,2,1,31,1
"CAMBRIDGE",2013-03-01,0,8,3,1,42,1
"CAMBRIDGE",2013-04-01,9.60817645291986,9,4,2,35,1
"CAMBRIDGE",2013-05-01,10.0182437898343,10,5,2,61,1
"CAMBRIDGE",2013-06-01,10.161708630463,11,6,3,34,1
"CAMBRIDGE",2013-07-01,10.4212540327314,12,7,3,39,1
"CAMBRIDGE",2013-08-01,10.580060638475,13,8,3,31,1
"CAMBRIDGE",2013-09-01,10.6471971354471,14,9,4,40,1
"CAMBRIDGE",2013-10-01,10.6645503578944,15,10,4,47,1
"CAMBRIDGE",2013-11-01,10.1113550162978,16,11,1,41,1
"CAMBRIDGE",2013-12-01,9.00011304592852,17,12,1,28,1
"CAMBRIDGE",2014-01-01,8.79125796790883,18,1,1,12,1
"CAMBRIDGE",2014-02-01,8.8490117593561,19,2,1,28,1
"CAMBRIDGE",2014-03-01,9.32892308780313,20,3,1,31,1
"CAMBRIDGE",2014-04-01,10.2715449696393,21,4,2,27,1
"CAMBRIDGE",2014-05-01,10.590855565832,22,5,2,33,1
"CAMBRIDGE",2014-06-01,10.655622722242,23,6,3,44,1
"CAMBRIDGE",2014-07-01,10.7921295568142,24,7,3,22,1
"CAMBRIDGE",2014-08-01,10.8023777697301,25,8,3,38,1
"CAMBRIDGE",2014-09-01,10.8579214941883,26,9,4,37,1
"CAMBRIDGE",2014-10-01,10.6997214155535,27,10,4,42,1
"CAMBRIDGE",2014-11-01,10.1792994524174,28,11,1,51,1
"CAMBRIDGE",2014-12-01,9.60400276796519,29,12,1,41,1
"CHELSEA",2010-01-01,0,0,1,1,19,0
"CHELSEA",2010-02-01,0,0,2,1,14,0
"CHELSEA",2010-03-01,0,0,3,1,23,0
"CHELSEA",2010-04-01,0,0,4,2,20,0
"CHELSEA",2010-05-01,0,0,5,2,23,0
"CHELSEA",2010-06-01,0,0,6,3,27,0
"CHELSEA",2010-07-01,0,0,7,3,26,0
"CHELSEA",2010-08-01,0,0,8,3,25,0
"CHELSEA",2010-09-01,0,0,9,4,34,0
"CHELSEA",2010-10-01,0,0,10,4,25,0
"CHELSEA",2010-11-01,0,0,11,1,17,0
"CHELSEA",2010-12-01,0,0,12,1,22,0
"CHELSEA",2011-01-01,0,0,1,1,25,0
"CHELSEA",2011-02-01,0,0,2,1,21,0
"CHELSEA",2011-03-01,0,0,3,1,25,0
"CHELSEA",2011-04-01,0,0,4,2,9,0
"CHELSEA",2011-05-01,0,0,5,2,12,0
"CHELSEA",2011-06-01,0,0,6,3,11,0
"CHELSEA",2011-07-01,0,0,7,3,0,0
"CHELSEA",2011-08-01,0,0,8,3,9,0
"CHELSEA",2011-09-01,0,0,9,4,22,0
"CHELSEA",2011-10-01,0,0,10,4,29,0
"CHELSEA",2011-11-01,0,0,11,1,24,0
"CHELSEA",2011-12-01,0,0,12,1,20,0
"CHELSEA",2012-01-01,0,0,1,1,7,0
"CHELSEA",2012-02-01,0,0,2,1,20,0
"CHELSEA",2012-03-01,0,0,3,1,19,0
"CHELSEA",2012-04-01,0,0,4,2,27,0
"CHELSEA",2012-05-01,0,0,5,2,19,0
"CHELSEA",2012-06-01,0,0,6,3,17,0
"CHELSEA",2012-07-01,0,0,7,3,24,0
"CHELSEA",2012-08-01,0,0,8,3,13,0
"CHELSEA",2012-09-01,0,0,9,4,36,0
"CHELSEA",2012-10-01,0,0,10,4,20,0
"CHELSEA",2012-11-01,0,0,11,1,24,0
"CHELSEA",2012-12-01,0,0,12,1,13,0
"CHELSEA",2013-01-01,0,0,1,1,14,0
"CHELSEA",2013-02-01,0,0,2,1,13,0
"CHELSEA",2013-03-01,0,0,3,1,19,0
"CHELSEA",2013-04-01,0,0,4,2,15,0
"CHELSEA",2013-05-01,0,0,5,2,18,0
"CHELSEA",2013-06-01,0,0,6,3,30,0
"CHELSEA",2013-07-01,0,0,7,3,13,0
"CHELSEA",2013-08-01,0,0,8,3,29,0
"CHELSEA",2013-09-01,0,0,9,4,28,0
"CHELSEA",2013-10-01,0,0,10,4,27,0
"CHELSEA",2013-11-01,0,0,11,1,25,0
"CHELSEA",2013-12-01,0,0,12,1,25,0
"CHELSEA",2014-01-01,0,0,1,1,28,0
"CHELSEA",2014-02-01,0,0,2,1,18,0
"CHELSEA",2014-03-01,0,0,3,1,26,0
"CHELSEA",2014-04-01,0,0,4,2,13,0
"CHELSEA",2014-05-01,0,0,5,2,24,0
"CHELSEA",2014-06-01,0,0,6,3,21,0
"CHELSEA",2014-07-01,0,0,7,3,23,0
"CHELSEA",2014-08-01,0,0,8,3,26,0
"CHELSEA",2014-09-01,0,0,9,4,15,0
"CHELSEA",2014-10-01,0,0,10,4,32,0
"CHELSEA",2014-11-01,0,0,11,1,23,0
"CHELSEA",2014-12-01,0,0,12,1,27,0
"EVERETT",2010-01-01,0,0,1,1,9,0
"EVERETT",2010-02-01,0,0,2,1,6,0
"EVERETT",2010-03-01,0,0,3,1,15,0
"EVERETT",2010-04-01,0,0,4,2,5,0
"EVERETT",2010-05-01,0,0,5,2,16,0
"EVERETT",2010-06-01,0,0,6,3,10,0
